;index_classifier;date;reunion;course;numPmu;nom;rapport;specialite;hippo_code
22;decisiontreeclassifier;2022-09-11;1;1;2.0;LOLIWOOD;1.5;plat;LON
22;adaboostclassifier;2022-09-11;1;1;2.0;LOLIWOOD;1.5;plat;LON
48;sgdclassifier;2022-09-11;1;2;3.0;HOGGAR DE L'ARDUS;1.5;plat;LON
47;kneighborsclassifier;2022-09-11;1;2;2.0;FIRST CLASSS;3.8;plat;LON
48;decisiontreeclassifier;2022-09-11;1;2;3.0;HOGGAR DE L'ARDUS;1.5;plat;LON
48;adaboostclassifier;2022-09-11;1;2;3.0;HOGGAR DE L'ARDUS;1.5;plat;LON
2;kneighborsclassifier;2022-09-11;1;3;3.0;IRESINE;7.0;plat;LON
4;decisiontreeclassifier;2022-09-11;1;3;5.0;BUBBLE GIFT;1.3;plat;LON
4;adaboostclassifier;2022-09-11;1;3;5.0;BUBBLE GIFT;1.3;plat;LON
12;kneighborsclassifier;2022-09-11;1;4;7.0;OZAN;15.0;plat;LON
16;kneighborsclassifier;2022-09-11;1;4;11.0;TORPEN;10.0;plat;LON
30;sgdclassifier;2022-09-11;1;5;3.0;GRAND GLORY;3.0;plat;LON
36;sgdclassifier;2022-09-11;1;5;9.0;LA PARISIENNE;6.2;plat;LON
35;kneighborsclassifier;2022-09-11;1;5;8.0;BAIYKARA;4.5;plat;LON
37;kneighborsclassifier;2022-09-11;1;5;10.0;TUESDAY;6.2;plat;LON
40;kneighborsclassifier;2022-09-11;1;6;2.0;TRUE TESTAMENT;4.4;plat;LON
45;decisiontreeclassifier;2022-09-11;1;6;7.0;LASSAUT;2.4;plat;LON
45;adaboostclassifier;2022-09-11;1;6;7.0;LASSAUT;2.4;plat;LON
52;kneighborsclassifier;2022-09-11;1;7;2.0;PONNTOS;19.0;plat;LON
59;kneighborsclassifier;2022-09-11;1;7;9.0;WHITE LAVENDER;12.0;plat;LON
61;kneighborsclassifier;2022-09-11;1;7;11.0;ROYAL ACLAIM;2.6;plat;LON
61;adaboostclassifier;2022-09-11;1;7;11.0;ROYAL ACLAIM;2.6;plat;LON
66;sgdclassifier;2022-09-11;1;8;4.0;FAST RAAJ;4.3;plat;LON
63;kneighborsclassifier;2022-09-11;1;8;1.0;AMILCAR;5.2;plat;LON
65;decisiontreeclassifier;2022-09-11;1;8;3.0;FANG;2.7;plat;LON
65;adaboostclassifier;2022-09-11;1;8;3.0;FANG;2.7;plat;LON
70;kneighborsclassifier;2022-09-11;1;9;2.0;KING ROBBE;1.7;plat;LON
